fever,cough,fatigue,shortness_of_breath,headache,sore_throat,nausea,dizziness,body_aches,runny_nose,chest_pain,diarrhea,loss_of_taste,loss_of_smell,diagnosis
0,1,0,1,1,1,0,1,0,1,0,0,0,0,Allergies
0,1,0,0,0,0,0,0,0,1,0,0,0,0,Allergies
0,0,0,1,0,0,0,1,0,1,0,0,0,0,Allergies
0,0,1,0,0,0,0,1,0,0,0,0,0,0,Chronic Fatigue
0,0,1,0,1,0,0,1,1,0,0,0,0,0,Chronic Fatigue
0,0,1,1,0,0,0,1,1,0,0,0,0,0,Chronic Fatigue
0,0,1,0,0,0,0,1,0,0,0,0,0,0,Chronic Fatigue
1,0,0,1,0,0,0,1,0,0,1,0,0,0,Heart Condition
1,0,0,1,1,0,0,1,0,0,1,0,0,0,Heart Condition
0,0,0,1,0,0,0,1,0,0,1,0,0,0,Heart Condition
0,0,1,1,0,0,0,1,0,0,1,0,0,0,Heart Condition
0,0,0,1,1,0,0,1,0,0,1,0,0,0,Anxiety Disorder
0,0,0,1,0,0,1,1,0,0,1,0,0,0,Anxiety Disorder
0,0,0,0,1,0,1,1,0,0,0,0,0,0,Anxiety Disorder
0,0,1,1,1,0,1,1,0,0,1,0,0,0,Anxiety Disorder
0,1,1,1,0,1,0,0,0,1,0,0,0,0,Upper Respiratory Infection
0,1,1,1,1,0,0,0,0,1,0,0,0,0,Upper Respiratory Infection
1,1,1,0,0,0,0,0,0,1,0,0,0,0,Upper Respiratory Infection
0,1,1,0,1,1,0,0,0,1,0,0,0,0,Upper Respiratory Infection
0,0,0,1,0,0,1,1,0,0,1,0,0,0,Panic Attack
0,0,0,1,1,0,1,1,0,0,1,0,0,0,Panic Attack
0,0,0,1,1,1,1,1,0,0,1,0,0,0,Panic Attack
0,0,1,1,0,0,1,1,0,0,1,0,0,0,Panic Attack
1,0,0,0,0,0,0,0,1,0,0,0,0,0,Fever
1,0,1,0,0,0,0,0,1,0,0,0,0,0,Fever
1,0,0,0,1,0,0,0,1,0,0,0,0,0,Fever
1,0,0,0,0,0,0,0,1,0,0,0,0,0,Fever
1,0,1,0,0,0,1,1,1,0,0,1,0,0,Gastroenteritis
1,1,0,0,0,0,1,1,1,0,0,1,0,0,Gastroenteritis
1,0,1,0,1,0,1,1,1,0,0,1,0,0,Gastroenteritis
1,0,0,0,0,0,1,1,1,0,0,1,0,0,Gastroenteritis
0,0,0,0,0,0,0,1,0,0,0,0,0,0,Dehydration
0,0,1,0,0,0,0,1,0,0,0,0,0,0,Dehydration
0,0,0,1,0,0,0,1,0,0,0,0,0,0,Dehydration
0,0,1,0,0,0,0,1,0,0,0,0,0,0,Dehydration
0,0,0,0,1,0,0,0,0,0,0,0,0,0,Tension Headache
0,0,1,0,1,0,0,0,0,0,0,0,0,0,Tension Headache
0,0,0,0,1,0,0,0,0,0,0,0,0,0,Tension Headache
0,0,0,0,1,1,0,0,0,0,0,0,0,0,Tension Headache
1,0,1,0,0,0,1,0,1,0,0,1,0,0,Stomach Flu
1,0,1,0,1,0,1,1,1,0,0,1,0,0,Stomach Flu
1,0,1,0,0,0,1,1,1,0,0,1,0,0,Stomach Flu
1,1,1,0,1,0,1,0,1,0,0,1,0,0,Stomach Flu
1,0,1,0,0,0,1,1,1,0,0,1,0,0,Stomach Flu
0,0,1,0,1,0,0,1,0,0,1,0,0,0,Hypertension
0,0,1,0,1,0,0,1,0,0,1,0,0,0,Hypertension
0,0,1,0,1,0,0,1,1,0,1,0,0,0,Hypertension
0,0,1,1,1,0,0,1,0,0,1,0,0,0,Hypertension
0,0,1,0,1,0,0,1,1,0,1,0,0,0,Hypertension
0,0,1,0,1,0,1,1,0,0,0,0,0,0,Diabetes
0,0,1,0,1,0,1,1,0,0,0,0,0,0,Diabetes
0,0,1,0,1,0,1,1,1,0,0,0,0,0,Diabetes
0,0,1,1,1,0,1,1,0,0,0,0,0,0,Diabetes
0,0,1,0,1,0,1,1,0,0,0,0,0,0,Diabetes
1,1,1,0,0,0,0,0,0,0,0,0,1,1,COVID Variant
1,1,1,1,0,0,0,0,0,0,0,0,1,1,COVID Variant
1,1,1,0,1,0,0,0,0,0,0,0,1,1,COVID Variant
1,1,1,1,1,0,0,0,0,0,0,0,1,1,COVID Variant
1,1,1,0,0,0,0,0,0,0,0,0,1,0,COVID Variant
0,1,1,0,1,1,0,0,0,1,0,0,0,0,Seasonal Allergies
0,1,1,0,1,1,0,0,0,1,0,0,0,0,Seasonal Allergies
0,1,1,0,0,1,0,1,0,1,0,0,0,0,Seasonal Allergies
0,1,1,0,1,0,0,1,0,1,0,0,0,0,Seasonal Allergies
0,1,0,0,1,1,0,0,0,1,0,0,0,0,Seasonal Allergies
0,0,1,0,1,0,1,0,0,0,0,1,0,0,Food Poisoning
1,0,1,0,1,0,1,1,0,0,0,1,0,0,Food Poisoning
1,0,1,0,0,0,1,1,1,0,0,1,0,0,Food Poisoning
1,0,1,0,1,0,1,1,1,0,0,1,0,0,Food Poisoning
1,0,1,0,1,0,1,0,1,0,0,1,0,0,Food Poisoning
0,0,1,0,1,0,1,0,0,0,1,0,0,0,Gastritis
0,0,1,0,1,0,1,1,0,0,1,0,0,0,Gastritis
0,0,1,0,1,0,1,0,1,0,1,0,0,0,Gastritis
0,0,1,0,1,0,1,1,1,0,1,0,0,0,Gastritis
0,0,1,0,1,0,1,0,0,0,1,0,0,0,Gastritis
0,0,1,0,1,0,1,1,1,0,0,0,0,0,Heat Exhaustion
0,0,1,0,1,0,1,1,1,0,0,0,0,0,Heat Exhaustion
1,0,1,0,1,0,1,1,1,0,0,0,0,0,Heat Exhaustion
0,0,1,0,1,0,1,1,1,0,0,0,0,0,Heat Exhaustion
0,0,1,1,1,0,1,1,1,0,0,0,0,0,Heat Exhaustion
1,1,1,0,0,0,0,0,1,0,1,0,0,0,Tuberculosis
1,1,1,0,1,0,0,0,1,0,1,0,0,0,Tuberculosis
1,1,1,1,0,0,0,0,1,0,1,0,0,0,Tuberculosis
1,1,1,0,0,0,0,1,1,0,1,0,0,0,Tuberculosis
1,1,1,1,1,0,0,0,1,0,1,0,0,0,Tuberculosis
0,0,1,0,1,1,0,0,0,1,0,0,0,0,Severe Sinus Infection
0,1,1,0,1,1,0,1,0,1,0,0,0,0,Severe Sinus Infection
0,0,1,0,1,1,0,1,1,1,0,0,0,0,Severe Sinus Infection
0,1,1,0,1,0,0,1,0,1,0,0,0,0,Severe Sinus Infection
0,0,1,0,1,1,0,0,1,1,0,0,0,0,Severe Sinus Infection
0,0,0,0,0,0,1,0,0,0,1,0,0,0,Acid Reflux
0,1,0,0,0,1,1,0,0,0,1,0,0,0,Acid Reflux
0,0,1,0,0,1,1,0,0,0,1,0,0,0,Acid Reflux
0,0,1,0,0,0,1,0,1,0,0,0,0,0,Constipation
0,0,1,0,1,0,1,0,1,0,0,0,0,0,Constipation
0,0,1,0,0,0,1,1,1,0,0,0,0,0,Constipation
0,0,1,0,0,0,1,0,1,0,0,1,0,0,Irritable Bowel Syndrome
0,0,1,0,1,0,1,0,0,0,0,1,0,0,Irritable Bowel Syndrome
0,0,1,0,0,0,1,1,0,0,0,1,0,0,Irritable Bowel Syndrome
1,1,1,0,0,0,0,0,0,0,0,0,0,0,Whooping Cough
1,1,1,1,0,0,1,0,0,0,0,0,0,0,Whooping Cough
0,1,1,1,0,0,1,0,0,0,0,0,0,0,Whooping Cough
1,1,1,1,0,0,0,0,0,0,1,0,0,0,Lung Infection
1,1,1,1,1,0,0,0,1,0,1,0,0,0,Lung Infection
1,1,1,1,0,0,0,1,1,0,1,0,0,0,Lung Infection
0,0,1,0,0,0,0,0,1,0,0,0,0,0,Arthritis
0,0,1,0,1,0,0,0,1,0,0,0,0,0,Arthritis
0,0,1,0,0,0,0,1,1,0,0,0,0,0,Arthritis
0,0,1,0,1,0,0,1,1,0,0,0,0,0,Fibromyalgia
0,0,1,0,1,0,1,1,1,0,0,0,0,0,Fibromyalgia
0,0,1,1,1,0,0,1,1,0,0,0,0,0,Fibromyalgia
0,0,1,0,0,0,0,0,1,0,0,0,0,0,Back Pain
0,0,1,0,1,0,0,0,1,0,0,0,0,0,Back Pain
0,0,0,0,1,0,0,0,1,0,0,0,0,0,Back Pain
0,0,0,0,1,0,1,1,0,0,0,0,0,0,Vertigo
0,0,1,0,1,0,1,1,0,0,0,0,0,0,Vertigo
0,0,0,0,0,0,1,1,0,0,0,0,0,0,Vertigo
0,0,1,0,1,0,1,1,0,0,0,0,0,0,Concussion
0,0,1,0,1,0,0,1,0,0,0,0,0,0,Concussion
0,0,0,0,1,0,1,1,0,0,0,0,0,0,Concussion
0,0,1,0,1,0,0,1,1,0,0,0,0,0,Seizure Disorder
0,0,1,0,1,0,1,1,1,0,0,0,0,0,Seizure Disorder
0,0,1,0,0,0,0,1,1,0,0,0,0,0,Seizure Disorder
0,0,1,0,0,0,0,0,0,0,0,0,0,0,Eczema
0,0,1,0,1,0,0,0,0,0,0,0,0,0,Eczema
0,0,0,0,1,0,0,0,0,0,0,0,0,0,Eczema
0,0,1,0,0,0,0,0,1,0,0,0,0,0,Psoriasis
0,0,1,0,1,0,0,0,1,0,0,0,0,0,Psoriasis
0,0,1,0,0,0,0,0,0,0,0,0,0,0,Psoriasis
1,0,1,0,0,0,1,0,1,0,0,0,0,0,Urinary Tract Infection
1,0,1,0,1,0,1,0,1,0,0,0,0,0,Urinary Tract Infection
0,0,1,0,1,0,1,0,1,0,0,0,0,0,Urinary Tract Infection
0,0,0,0,0,0,1,0,1,0,0,0,0,0,Kidney Stones
1,0,0,0,0,0,1,0,1,0,0,0,0,0,Kidney Stones
0,0,1,0,0,0,1,1,1,0,0,0,0,0,Kidney Stones
0,0,1,0,1,0,0,1,0,0,0,0,0,0,Thyroid Disorder
0,0,1,1,1,0,0,1,0,0,0,0,0,0,Thyroid Disorder
0,0,1,0,0,0,0,1,1,0,0,0,0,0,Thyroid Disorder
0,0,1,0,1,0,1,1,1,0,0,0,0,0,Hormonal Imbalance
0,0,1,0,1,0,0,1,0,0,0,0,0,0,Hormonal Imbalance
0,0,1,0,0,0,1,1,1,0,0,0,0,0,Hormonal Imbalance
0,0,1,0,1,0,0,1,1,0,0,0,0,0,Depression
0,0,1,0,1,0,1,0,1,0,0,0,0,0,Depression
0,0,1,0,0,0,0,1,0,0,0,0,0,0,Depression
0,0,1,1,1,0,1,1,1,0,1,0,0,0,Stress Disorder
0,0,1,1,1,0,0,1,0,0,1,0,0,0,Stress Disorder
0,0,1,0,1,0,1,1,0,0,0,0,0,0,Stress Disorder
0,0,1,0,1,0,0,0,0,0,0,0,0,0,Conjunctivitis
1,0,1,0,1,0,0,0,0,0,0,0,0,0,Conjunctivitis
0,0,0,0,1,0,0,0,0,0,0,0,0,0,Conjunctivitis
1,0,1,0,1,0,1,1,0,0,0,0,0,0,Ear Infection
1,0,0,0,1,0,0,1,0,0,0,0,0,0,Ear Infection
0,0,1,0,1,0,1,1,0,0,0,0,0,0,Ear Infection
1,0,1,0,1,1,0,0,1,0,0,0,0,0,Mononucleosis
1,0,1,0,0,1,0,0,1,0,0,0,0,0,Mononucleosis
1,1,1,0,1,1,0,0,1,0,0,0,0,0,Mononucleosis
1,0,1,0,0,0,1,1,1,0,0,0,0,0,Hepatitis
1,0,1,0,1,0,1,0,1,0,0,0,0,0,Hepatitis
0,0,1,0,0,0,1,1,1,0,0,1,0,0,Hepatitis
1,0,1,0,1,0,1,1,1,0,0,0,0,0,Meningitis
1,0,0,0,1,0,1,1,1,0,0,0,0,0,Meningitis
1,0,1,0,1,0,1,1,1,0,0,0,0,0,Meningitis
